Pháp lý,Hướng,Chính chủ,Đường trước nhà,Giá,url,Địa chỉ tài sản,Mã tin,Số phòng ngủ,Loại BDS,Chiều dài,Diện tích,Sân thượng,Thuộc dự án,Phòng ăn,Loại tin,Chổ để xe hơi,Chiều ngang,Nhà bếp,Số lầu
Sổ hồng/ Sổ đỏ,_,---,6m,26 tỷ,https://alonhadat.com.vn/mat-pho-loi-ba-dinh-tai-kim-ma-80m2-lo-goc-cua-sau-rieng-hon-3-chuc-re-nhat-ha-noi-17259830.html,"Phố Ngọc Khánh, Phường Giảng Võ, Quận Ba Đình, Hà Nội",17259830.0,6,Nhà trong hẻm,11m,66 m2,---,,---,Cần bán,---,6m,---,5
Sổ hồng/ Sổ đỏ,Đông Nam,---,8m,870 triệu,https://alonhadat.com.vn/co-tam-no-ban-can-nha-1-lau-tan-kien-binh-chanh-dang-cho-thue-8tr-thang-16866685.html,"Đường Hưng Nhơn, Xã Tân Kiên, Huyện Bình Chánh, Hồ Chí Minh",16866685.0,3,Nhà trong hẻm,23m,116 m2,---,,---,Cần bán,,5m,---,1
Sổ hồng/ Sổ đỏ,Đông Bắc,---,20m,"11,7 tỷ",https://alonhadat.com.vn/-ban-lo-dat-cuc-dep-mat-duong-mang-nuoc-an-duong-hai-phong-17243588.html,"Đường Máng Nước, Phường An Đồng, Quận An Dương, Hải Phòng",17243588.0,---,"Đất thổ cư, đất ở",24m,119 m2,---,,---,Cần bán,---,5m,---,---
---,_,---,5m,"8,8 tỷ",https://alonhadat.com.vn/-sieu-pham-2-tang-thiet-ke-hien-dai-kiet-o-to-vai-buoc-ra-bien-my-khe--17406888.html,"Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",17406888.0,3,Nhà trong hẻm,---,76 m2,,,,Cần bán,,4m,,2
---,_,---,6m,"10,5 tỷ",https://alonhadat.com.vn/-ban-lo-dat-sieu-hiem-mt-my-da-dong-9-cach-bien-vai-buoc-chan-17406844.html,"Đường Mỹ Đa Đông 9, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",17406844.0,---,"Đất thổ cư, đất ở",---,90 m2,,,,Cần bán,,5m,,---
---,_,---,4m,"6,7 tỷ",https://alonhadat.com.vn/-ban-nha-toa-can-ho-kiet-o-to-hoang-dieu-doanh-thu-135tr-1-nam-17406877.html,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",17406877.0,6,Nhà trong hẻm,---,100 m2,,,,Cần bán,,4m,,4
---,_,---,"4,5m","27,5 tỷ",https://alonhadat.com.vn/ban-lo-dat-phan-tu-dien-tich-khung-gia-tot-17264752.html,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",17264752.0,---,"Đất thổ cư, đất ở",---,270 m2,,,,Cần bán,,13m,,---
---,_,---,6m,109 triệu / m2,https://alonhadat.com.vn/ban-lo-dat-da-man-16-nhinh-6-ty-16596684.html,"Đường Lê Hữu Trác, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",16596684.0,10,"Đất thổ cư, đất ở",---,150 m2,,,,Cần bán,,"8,7m",,2
Sổ hồng/ Sổ đỏ,Đông,---,"7,5m","5,9 tỷ",https://alonhadat.com.vn/sup-ham-3-tang-moi-dep-mt-7m5-khu-a32-duong-tran-thai-tong-chi-5-ty-x-17413064.html,"Đường Trần Thái Tông, Phường An Khê, Quận Thanh Khê, Đà Nẵng",17413064.0,3,Nhà mặt tiền,10m,60 m2,,,,Cần bán,,6m,,3
Sổ hồng/ Sổ đỏ,_,---,33m,"6,8 tỷ",https://alonhadat.com.vn/sieu-hot-ban-dat-tang-nha-2tang-dien-tich-dat-khung-mat-tien-nguyen-van-cu-lien-chieu-da-n-17407531.html,"Đường Nguyễn Văn Cừ, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",17407531.0,3,Nhà mặt tiền,---,310 m2,---,,,Cần bán,,10m,,2
---,_,---,"7,5m","5,89 tỷ",https://alonhadat.com.vn/ban-dat-mat-tien-doan-huu-trung-123m2-ngay-yen-the-bac-son-ban-dat-tang-day-tro-17405139.html,"Đường Đoàn Hữu Trưng, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",17405139.0,5,Nhà mặt tiền,---,123 m2,,,,Cần bán,,5m,,1
Sổ hồng/ Sổ đỏ,Bắc,---,3m,"19,35 tỷ",https://alonhadat.com.vn/chinh-chu-ban-toa-nha-ccmn-tai-tan-mai-hoang-mai-hn-17376543.html,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",17376543.0,9,"Phòng trọ, nhà trọ",19m,70 m2,,,,Cần bán,,"3,7m",,6
Sổ hồng/ Sổ đỏ,_,---,10m,"14,4 tỷ",https://alonhadat.com.vn/hot-hot-ban-nha-3-tang-nui-thanh-hai-chau-s100m2-gia-hon-14ty-17400596.html,"Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17400596.0,5,Nhà mặt tiền,20m,100 m2,,,,Cần bán,,5m,,3
---,_,---,30m,28 tỷ,https://alonhadat.com.vn/ban-nha-1039-hoang-sa-q-3-mua-dat-tang-nha-moi-5-tang-gia-ban-28-ty-17387976.html,"Đường Hoàng Sa, Phường 11, Quận 3, Hồ Chí Minh",17387976.0,10,Nhà mặt tiền,13m,88 m2,---,,---,Cần bán,---,"6,7m",---,5
---,_,---,"5,5m","6,5 tỷ",https://alonhadat.com.vn/-chu-thien-chi-ban-nha-dep-3-tang-tt-hoa-cuong-tien-ich-ko-dem-xue-chi-6-5-ty-17410304.html,"Đường Bình An 2, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17410304.0,3,Nhà mặt tiền,---,80 m2,---,,---,Cần bán,,5m,---,3
---,_,---,10m,"7,7 tỷ",https://alonhadat.com.vn/-dat-bien-non-nuoc-dep-nhu-hoa-hau-176-7m-mat-tien-7m-duong-10-5m-vuong-van-chi-7-7-17050668.html,"Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",17050668.0,---,"Đất thổ cư, đất ở",---,176 m2,---,,---,Cần bán,---,7m,---,---
---,_,---,5m,"6,75 tỷ",https://alonhadat.com.vn/-sieu-pham-3-tang-moi-dep-o-ngay-chi-5-8-ty-4pn-3wc-full-noi-that-tt-hoa-cuong-17069876.html,"Đường Lê Cơ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17069876.0,4,Nhà trong hẻm,---,85 m2,,,,Cần bán,,"4,5m",,3
---,_,---,20m,68 tỷ,https://alonhadat.com.vn/ban-biet-thu-sieu-dep-2-mat-tien-khu-fideco-thao-dien-q-2-15x25m-gia-68-ty-16367607.html,"Đường Thảo Điền, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh",16367607.0,5,"Biệt thự, nhà liền kề",---,320 m2,---,,---,Cần bán,---,---,---,2
---,_,---,20m,46 tỷ,https://alonhadat.com.vn/chi-130tr-trieu-m-biet-thu-duong-20m-nguyen-van-huong-gan-song-thao-dien-q-2--16315297.html,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh",16315297.0,6,"Biệt thự, nhà liền kề",---,350 m2,---,,---,Cần bán,---,---,---,3
---,_,---,25m,56 tỷ,https://alonhadat.com.vn/ban-nha-mat-tien-duong-ngo-quang-huy-p-thao-dien-q-2-10x25m-3-lau-gia-56-ty-16357197.html,"Đường Ngô Quang Huy, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh",16357197.0,5,Nhà mặt tiền,---,250 m2,---,,---,Cần bán,---,---,---,3
Sổ hồng/ Sổ đỏ,_,---,"7,5m","12,5 tỷ",https://alonhadat.com.vn/-nha-3-tang-mt-do-huy-uyen-100m-ngang-5m-bien-son-tra-gia-nhinh-12-ty--17402110.html,"Đường Đỗ Huy Uyển, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",17402110.0,3,Nhà mặt tiền,---,100 m2,---,,---,Cần bán,---,---,---,3
Sổ hồng/ Sổ đỏ,_,---,"5,5m","6,5 tỷ",https://alonhadat.com.vn/-3-tang-3-me-mt-lo-giang-14-125m-ngang-5m-dtxd-370m-thiet-ke-hien-dai-nhinh-6-ty--17293840.html,"Đường Lỗ Giáng 14, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",17293840.0,5,Nhà mặt tiền,---,125 m2,---,,---,Cần bán,---,---,---,3
Sổ hồng/ Sổ đỏ,_,---,"7,5m","12,5 tỷ",https://alonhadat.com.vn/-mt-phan-thuc-duyen-sat-nguyen-van-thoai-151m-ngang-6-4m-3-mat-thoang-gia-chi-27-x-ty--17377336.html,"Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",17377336.0,2,Nhà mặt tiền,---,100 m2,---,,---,Cần bán,---,---,---,2
Sổ hồng/ Sổ đỏ,_,---,23m,"7,8 tỷ",https://alonhadat.com.vn/-nha-pho-shophouse-bds-trung-nguyen-gia-7-9-ty-chi-01-can-duy-nhat-16379341.html,"Đường Nguyễn Đình Chiểu, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",16379341.0,4,"Biệt thự, nhà liền kề",30m,125 m2,,Khu đô thị mới Thành phố Cà phê (The Coffee City) (xem chi tiết dự án),,Cần bán,,5m,,4
Sổ hồng/ Sổ đỏ,_,---,6m,"3,02 tỷ",https://alonhadat.com.vn/ban-nha-dep-pho-quang-tan-binh-gia-3-ty-020-trieu-60m2-so-hong-rieng-17408199.html,"Đường Phổ Quang, Phường 2, Quận Tân Bình, Hồ Chí Minh",17408199.0,3,Nhà trong hẻm,12m,60 m2,,,,Cần bán,,5m,,2
Sổ hồng/ Sổ đỏ,_,---,6m,"2,79 tỷ",https://alonhadat.com.vn/ban-nha-dang-van-ngu-phu-nhuan-gia-2-ty-790-trieu-48m2-so-hong-rieng-chinh-chu-17408248.html,"Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, Hồ Chí Minh",17408248.0,3,Nhà trong hẻm,12m,48 m2,,,,Cần bán,,4m,,1
Sổ hồng/ Sổ đỏ,_,---,4m,40 triệu / m2,https://alonhadat.com.vn/ban-100m-dat-3-mat-tien-tai-xa-dong-truc-gan-dai-lo-thang-long--17272368.html,"Xã Đồng Trúc, Huyện Thạch Thất, Hà Nội",17272368.0,---,"Đất thổ cư, đất ở",---,100 m2,---,,---,Cần bán,---,6m,---,---
---,_,---,"7,5m","38,9 tỷ",https://alonhadat.com.vn/-biet-thu-san-vuon-2-mat-tien-euro-villa-1-an-hai-tay-son-tra-dien-tich-250m--17405654.html,"Đường Bằng Lăng, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",17405654.0,4,"Biệt thự, nhà liền kề",25m,250 m2,,Khu biệt thự Euro village Đà Nẵng (xem chi tiết dự án),,Cần bán,,10m,,3
Sổ hồng/ Sổ đỏ,_,---,33m,"43,5 tỷ",https://alonhadat.com.vn/khach-san-3-tang-mat-tien-nguyen-tat-thanh-dien-tich-khung-600m2-33-phong-chi-43-5ty-17406999.html,"Đường Nguyễn Lương Bằng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",17406999.0,33,"Nhà hàng, khách sạn",---,600 m2,,,,Cần bán,,12m,,3
Sổ hồng/ Sổ đỏ,_,---,"7,5m","8,6 tỷ",https://alonhadat.com.vn/sieu-pham-4-tang-bui-cong-trung-view-cong-vien-hoa-xuan-cam-le--16951168.html,"Đường Bùi Công Trừng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",16951168.0,4,Nhà mặt tiền,20m,100 m2,---,Khu dân cư Nam Cầu Cẩm Lệ (xem chi tiết dự án),---,Cần bán,---,5m,---,4
Sổ hồng/ Sổ đỏ,Bắc,---,7m,14 tỷ,https://alonhadat.com.vn/ban-nha-phan-lo-my-dinh-ngo-o-to-tranh-do-ngay-dem-45m2-x-4t-mt4-1m-gia-14-ty--17399227.html,"Đường Đình Thôn, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",17399227.0,5,Nhà mặt tiền,---,45 m2,---,,---,Cần bán,---,"4,1m",---,4
Sổ hồng/ Sổ đỏ,_,---,"4,5m","6,5 tỷ",https://alonhadat.com.vn/hoa-cuong-bac-hai-chau-lo-goc-2-mat-duong-cuc-dep-sat-ngay-tieu-la-o-to-vao-tan-san-17397974.html,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17397974.0,2,Nhà mặt tiền,---,80 m2,,,,Cần bán,,6m,,1
Sổ hồng/ Sổ đỏ,_,---,15m,"13,5 tỷ",https://alonhadat.com.vn/cap-bao-gia-sap-ham-nha-mat-tien-duong-lon-phan-dang-luu-hai-chau-130m2-chi-11-x-16247076.html,"Đường Phan Đăng Lưu, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",16247076.0,2,Nhà mặt tiền,---,130 m2,,,,Cần bán,,5m,,1
Sổ hồng/ Sổ đỏ,_,---,4m,"4,8 tỷ",https://alonhadat.com.vn/hang-hiem-ban-nha-ngay-bai-tam-bien-man-thai-hoang-sa-noi-dai-vo-nguyen-giap-chi-4-x-17237347.html,"Đường Võ Nguyên Giáp, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",17237347.0,2,Nhà trong hẻm,---,55 m2,,,,Cần bán,,"6,5m",,2
Sổ hồng/ Sổ đỏ,_,---,4m,19 tỷ,https://alonhadat.com.vn/thien-duong-du-lich-bien-my-khe-toa-can-ho-14-phong-full-kin-pho-tay-an-thuong-17411104.html,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",17411104.0,14,Nhà mặt tiền,---,125 m2,,,,Cần bán,,7m,,5
Sổ hồng/ Sổ đỏ,_,---,4m,"9,5 tỷ",https://alonhadat.com.vn/hiem-loi-trung-tam-thanh-pho-ngay-goc-cum-phan-thanh-nguyen-van-linh-mt-9m-cuc-dep-17411743.html,"Đường Phan Thanh, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",17411743.0,2,Nhà mặt tiền,---,110 m2,,,,Cần bán,,9m,,1
Sổ hồng/ Sổ đỏ,_,---,8m,"2,612 tỷ",https://alonhadat.com.vn/ban-can-dang-cho-thue-14tr-ngay-18e-cong-hoa-tan-binh-gia-2-ty-612tr-63m2-so-rieng-17408187.html,"Đường Cộng Hòa, Phường 4, Quận Tân Bình, Hồ Chí Minh",17408187.0,3,Nhà trong hẻm,---,63 m2,---,,---,Cần bán,---,---,---,1
Sổ hồng/ Sổ đỏ,_,---,8m,"2,32 tỷ",https://alonhadat.com.vn/ban-ngay-can-pham-van-dong-thu-duc-gia-2-ty-320tr-68m2-so-hong-rieng-1-tret-2-lau-17408358.html,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh",17408358.0,3,Nhà trong hẻm,---,68 m2,---,,---,Cần bán,---,---,---,2
Sổ hồng/ Sổ đỏ,_,---,"6,5m","2,4 tỷ",https://alonhadat.com.vn/ban-gap-can-phan-van-tri-go-vap-gia-2-ty-400tr-60m2-so-hong-rieng-duong-o-to-17408036.html,"Đường Phan Văn Trị, Phường 5, Quận Gò Vấp, Hồ Chí Minh",17408036.0,3,Nhà trong hẻm,---,60 m2,---,,---,Cần bán,---,---,---,2
Sổ hồng/ Sổ đỏ,_,---,8m,"2,54 tỷ",https://alonhadat.com.vn/ban-can-dang-cho-thue-16tr-thang-ngay-dao-duy-anh-phu-nhuan-gia-2-ty-540tr-60m2-rieng-17410689.html,"Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, Hồ Chí Minh",17410689.0,3,Nhà trong hẻm,---,60 m2,---,,---,Cần bán,---,---,---,2
Sổ hồng/ Sổ đỏ,_,---,"5,5m","10,7 tỷ",https://alonhadat.com.vn/hiem-ban-dat-mat-pho-huy-can-145m2-ngang-5m-7-tang-can-ho-dich-vu-chi-nhinh-10-ty-17406998.html,"Đường Huy Cận, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17406998.0,6,Nhà mặt tiền,---,145 m2,---,,,Cần bán,,5m,,1
Sổ hồng/ Sổ đỏ,_,---,10m,"13,5 tỷ",https://alonhadat.com.vn/sup-1-ty-ban-mat-pho-dai-lo-kinh-doanh-le-thanh-nghi-so-le-via-he-13m-nhinh-13ty-tl-17407014.html,"Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17407014.0,4,Nhà mặt tiền,---,75 m2,,,,Cần bán,,5m,,3
---,_,---,"7,5m",70 tỷ,https://alonhadat.com.vn/nguyen-dinh-thi-cam-le-biet-thu-3-tang-1050m2-12-phong-ngu-4-ho-boi-17411307.html,"Đường Nguyễn Đình Thi, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",17411307.0,12,Nhà mặt tiền,35m,1.050 m2,---,,---,Cần bán,---,30m,---,3
Sổ hồng/ Sổ đỏ,Tây,---,"7,5m","13,5 tỷ",https://alonhadat.com.vn/biet-thu-3-tang-canh-duong-thang-long-190-m2-ngang-10-m-chi-12-ty-17108367.html,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",17108367.0,3,"Biệt thự, nhà liền kề",19m,190 m2,---,,---,Cần bán,---,10m,---,3
Sổ hồng/ Sổ đỏ,_,---,7m,"2,4 tỷ",https://alonhadat.com.vn/nha-hoan-cong-sieu-dep-120m2-tang-noi-that-ke-uy-ban-truong-hoc-va-benh-vien-cach-500m-17289775.html,"Đường Bùi Ngọc Thu, Thành phố Thủ Dầu Một, Bình Dương",17289775.0,2,Nhà trong hẻm,---,120 m2,,,,Cần bán,,---,,1
Sổ hồng/ Sổ đỏ,_,---,7m,"2,85 tỷ",https://alonhadat.com.vn/2-85-ti-nha-moi-100-nha-rong-5x30m-1tret-2lau-duong-rong-7m-so-hong-rieng-thu-dau-mot-16442460.html,"Đường Hồ Văn Cống, Phường Tương Bình Hiệp, Thành phố Thủ Dầu Một, Bình Dương",16442460.0,4,Nhà mặt tiền,30m,120 m2,,,,Cần bán,,4m,,4
Sổ hồng/ Sổ đỏ,_,---,7m,"1,55 tỷ",https://alonhadat.com.vn/ban-gap-lo-dat-120m2-nam-trong-khu-dan-cu-duong-oto-full-tho-gan-uy-ban-benh-vien-tdm-17069119.html,"Đường Hồ Văn Cống, Phường Tương Bình Hiệp, Thành phố Thủ Dầu Một, Bình Dương",17069119.0,---,"Đất thổ cư, đất ở",30m,150 m2,---,,---,Cần bán,---,5m,---,---
---,_,---,4m,"5,5 tỷ",https://alonhadat.com.vn/-chi-5-ty-5-so-huu-ngay-can-nha-5-phong-ngu-gan-cho-truong-trung-tam--16852684.html,"Đường Phan Chu Trinh, Phường 9, Thành phố Đà Lạt, Lâm Đồng",16852684.0,5,Nhà trong hẻm,"14,3m",57 m2,---,,---,Cần bán,---,"3,5m",,3
---,_,---,4m,"5,1 tỷ",https://alonhadat.com.vn/-ban-nha-phuong-xuan-huong-vi-tri-dep-gia-tot-5-1-ty-17214737.html,"Đường Ngô Thì Sỹ, Phường 4, Thành phố Đà Lạt, Lâm Đồng",17214737.0,2,Nhà trong hẻm,12m,66 m2,---,,,Cần bán,---,6m,,1
---,_,---,4m,"7,2 tỷ",https://alonhadat.com.vn/-ban-nha-moi-dep-duong-nguyen-trung-truc-phuong-xuan-huong-tp-da-lat-gia-7-2-ty-17027964.html,"Đường Nguyễn Trung Trực, Phường 3, Thành phố Đà Lạt, Lâm Đồng",17027964.0,6,Nhà trong hẻm,15m,86 m2,,,,Cần bán,,6m,,3
Sổ hồng/ Sổ đỏ,_,---,4m,"6,7 tỷ",https://alonhadat.com.vn/toa-can-ho-hoang-dieu-100m2-san-ben-thu-3-cho-thue-chi-6-ty-x-17409665.html,"Đường Hoàng Diệu, Phường Hải Châu, Quận Hải Châu, Đà Nẵng",17409665.0,6,Nhà trong hẻm,20m,100 m2,---,,---,Cần bán,---,5m,---,4
---,_,---,"5,5m","7,3 tỷ",https://alonhadat.com.vn/ban-nha-cap-4-san-3-pn-kien-co-ngay-huy-cani-chau-da-nang-gan-dai-hoc-ngoai-ngu-nhinh-7-ty-17411489.html,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17411489.0,3,Nhà mặt tiền,---,75 m2,---,,---,Cần bán,---,---,---,1
Sổ hồng/ Sổ đỏ,_,---,"7,5m",15 tỷ,https://alonhadat.com.vn/ban-nha-mat-pho-kd-102m2-san-nha-3-tang-hiem-nha-ban-chi-15-ty-17411545.html,"Đường Lương Nhữ Hộc, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17411545.0,3,Nhà mặt tiền,20m,102 m2,---,,---,Cần bán,---,---,---,3
Sổ hồng/ Sổ đỏ,Đông Nam,---,"5,5m","23,5 tỷ",https://alonhadat.com.vn/chinh-chu-dinh-cu-can-ban-gap-toa-can-ho-6-tang-san-dong-thu-120tr-th-hai-chau-da-nang-16471359.html,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",16471359.0,24,Nhà mặt tiền,"19,5m",96 m2,,,---,Cần bán,,5m,,6
Sổ hồng/ Sổ đỏ,Đông,---,"5,5m","12,95 tỷ",https://alonhadat.com.vn/ban-nha-lo-goc-2-mt-ngay-tieu-la-4-pn-tt-hoa-cuong-hai-chau-da-nang-11-ty-9-17010399.html,"Đường Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17010399.0,4,Nhà mặt tiền,21m,128 m2,---,,---,Cần bán,---,6m,---,3
Sổ hồng/ Sổ đỏ,_,---,5m,"6,2 tỷ",https://alonhadat.com.vn/ban-nha-pho-trung-tam-hai-chau-gan-ngay-mt-ong-ich-khiem-4-tang-3pn-chi-hon-6-ty-17024266.html,"Đường Ông Ích Khiêm, Phường Hải Châu, Quận Hải Châu, Đà Nẵng",17024266.0,3,Nhà trong hẻm,12m,60 m2,---,,---,Cần bán,---,"4,85m",---,4
---,_,---,10m,"5,85 tỷ",https://alonhadat.com.vn/lo-dat-mat-tien-duong-10m-khu-view-song-6x23-so-hong-chinh-chu-kdc-cau-vinh-binh-15989895.html,"Đường Ngô Chí Quốc, Phường Bình Chiểu, Thành phố Thủ Đức, Hồ Chí Minh",15989895.0,---,"Đất thổ cư, đất ở",23m,123 m2,---,,---,Cần bán,---,6m,---,---
---,_,---,3m,"4,95 tỷ",https://alonhadat.com.vn/ban-nha-kiet-2-tang-hoang-dieu-gan-duong-chi-5-x-ty-17157741.html,"Đường Hoàng Diệu, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",17157741.0,3,Nhà trong hẻm,10m,80 m2,---,,---,Cần bán,---,8m,---,2
---,_,---,---,19 tỷ,https://alonhadat.com.vn/ban-nha-duong-trich-sai-cach-mat-ho-tay-20m-quan-tay-ho-ha-noi-17349180.html,"Phố Trích Sài, Quận Tây Hồ, Hà Nội",17349180.0,---,Nhà mặt tiền,---,43 m2,---,,---,Cần bán,---,---,---,---
---,_,---,---,"1,5 tỷ",https://alonhadat.com.vn/-chinh-chu-ban-3-lo-dat-lien-ke-xa-gia-kiem-thong-nhat-vi-tri-dep-17276163.html,"Xã Gia Kiệm, Huyện Thống Nhất, Đồng Nai",17276163.0,---,"Đất thổ cư, đất ở",---,258 m2,---,,---,Cần bán,---,---,---,---
